[  257.216,   272.160]; seg_len = 14.944; step_len =  1.056; score =  0.212;    2
[  258.112,   272.992]; seg_len = 14.880; step_len =  0.896; score =  0.212;    2
[  259.104,   274.016]; seg_len = 14.912; step_len =  0.992; score =  0.212;    2
[  260.160,   275.104]; seg_len = 14.944; step_len =  1.056; score =  0.212;    2
[  261.088,   275.968]; seg_len = 14.880; step_len =  0.928; score =  0.212;    2
[  262.080,   276.704]; seg_len = 14.624; step_len =  0.992; score =  0.212;    2
[  263.136,   278.080]; seg_len = 14.944; step_len =  1.056; score =  0.212;    2
[  264.096,   279.040]; seg_len = 14.944; step_len =  0.960; score =  0.212;    2
[  265.056,   280.000]; seg_len = 14.944; step_len =  0.960; score =  0.212;    2
[  266.048,   280.800]; seg_len = 14.752; step_len =  0.992; score =  0.212;    2
[  267.040,   281.920]; seg_len = 14.880; step_len =  0.992; score =  0.212;    2
[  268.032,   282.816]; seg_len = 14.784; step_len =  0.992; score =  0.106;    1
[  269.312,   283.840]; seg_len = 14.528; step_len =  1.280; score =  0.106;    1
[  270.016,   284.864]; seg_len = 14.848; step_len =  0.704; score =  0.106;    1
[  271.200,   286.144]; seg_len = 14.944; step_len =  1.184; score =  0.106;    1
[  272.000,   286.528]; seg_len = 14.528; step_len =  0.800; score =  0.106;    1
[  272.992,   287.520]; seg_len = 14.528; step_len =  0.992; score =  0.106;    1
[  273.984,   288.928]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[  275.072,   290.016]; seg_len = 14.944; step_len =  1.088; score =  0.106;    1
[  275.968,   290.784]; seg_len = 14.816; step_len =  0.896; score =  0.106;    1
[  277.152,   292.000]; seg_len = 14.848; step_len =  1.184; score =  0.106;    1
[  278.048,   292.992]; seg_len = 14.944; step_len =  0.896; score =  0.106;    1
[  279.008,   293.952]; seg_len = 14.944; step_len =  0.960; score =  0.106;    1
[  279.968,   294.848]; seg_len = 14.880; step_len =  0.960; score =  0.106;    1
[  281.216,   296.160]; seg_len = 14.944; step_len =  1.248; score =  0.106;    1
[  281.920,   296.864]; seg_len = 14.944; step_len =  0.704; score =  0.106;    1
[  283.488,   298.208]; seg_len = 14.720; step_len =  1.568; score =  0.106;    1
[  284.352,   299.296]; seg_len = 14.944; step_len =  0.864; score =  0.106;    1
[  285.792,   300.384]; seg_len = 14.592; step_len =  1.440; score =  0.106;    1
[  285.888,   300.384]; seg_len = 14.496; step_len =  0.096; score =  0.106;    1
[  287.136,   302.080]; seg_len = 14.944; step_len =  1.248; score =  0.106;    1
[  288.736,   303.584]; seg_len = 14.848; step_len =  1.600; score =  0.106;    1
[  288.864,   303.584]; seg_len = 14.720; step_len =  0.128; score =  0.106;    1
[  289.856,   304.736]; seg_len = 14.880; step_len =  0.992; score =  0.106;    1
[  290.976,   305.888]; seg_len = 14.912; step_len =  1.120; score =  0.106;    1
[  291.840,   306.784]; seg_len = 14.944; step_len =  0.864; score =  0.106;    1
[  292.832,   307.776]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  293.824,   308.768]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  294.816,   309.760]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  295.808,   310.720]; seg_len = 14.912; step_len =  0.992; score =  0.212;    2
[  296.864,   311.776]; seg_len = 14.912; step_len =  1.056; score =  0.212;    2
[  297.792,   312.736]; seg_len = 14.944; step_len =  0.928; score =  0.212;    2
[  298.784,   313.728]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  299.776,   314.528]; seg_len = 14.752; step_len =  0.992; score =  0.212;    2
[  300.960,   315.904]; seg_len = 14.944; step_len =  1.184; score =  0.212;    2
[  301.760,   316.512]; seg_len = 14.752; step_len =  0.800; score =  0.212;    2
[  302.880,   317.824]; seg_len = 14.944; step_len =  1.120; score =  0.212;    2
[  304.544,   319.488]; seg_len = 14.944; step_len =  1.664; score =  0.212;    2
[  304.736,   319.680]; seg_len = 14.944; step_len =  0.192; score =  0.212;    2
[  305.728,   320.576]; seg_len = 14.848; step_len =  0.992; score =  0.212;    2
[  306.752,   321.568]; seg_len = 14.816; step_len =  1.024; score =  0.212;    2
[  307.712,   322.624]; seg_len = 14.912; step_len =  0.960; score =  0.106;    1
[  308.704,   323.648]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[  309.696,   324.384]; seg_len = 14.688; step_len =  0.992; score =  0.106;    1
[  310.720,   325.632]; seg_len = 14.912; step_len =  1.024; score =  0.106;    1
[  311.712,   326.656]; seg_len = 14.944; step_len =  0.992; score =  0.106;    1
[  312.736,   327.360]; seg_len = 14.624; step_len =  1.024; score =  0.106;    1
[  313.696,   328.640]; seg_len = 14.944; step_len =  0.960; score =  0.106;    1
[  314.784,   329.664]; seg_len = 14.880; step_len =  1.088; score =  0.106;    1
[  315.680,   330.592]; seg_len = 14.912; step_len =  0.896; score =  0.106;    1
[  316.736,   331.520]; seg_len = 14.784; step_len =  1.056; score =  0.106;    1
[  317.632,   332.544]; seg_len = 14.912; step_len =  0.896; score =  0.106;    1
[  318.656,   333.472]; seg_len = 14.816; step_len =  1.024; score =  0.106;    1
[  319.680,   334.624]; seg_len = 14.944; step_len =  1.024; score =  0.106;    1
[  321.440,   336.288]; seg_len = 14.848; step_len =  1.760; score =  0.106;    1
[  321.728,   336.640]; seg_len = 14.912; step_len =  0.288; score =  0.106;    1
[  322.592,   337.536]; seg_len = 14.944; step_len =  0.864; score =  0.106;    1
[  323.584,   338.336]; seg_len = 14.752; step_len =  0.992; score =  0.106;    1
[  324.736,   339.680]; seg_len = 14.944; step_len =  1.152; score =  0.106;    1
[  325.600,   340.544]; seg_len = 14.944; step_len =  0.864; score =  0.106;    1
[  326.560,   341.504]; seg_len = 14.944; step_len =  0.960; score =  0.106;    1
[  327.904,   342.848]; seg_len = 14.944; step_len =  1.344; score =  0.106;    1
[  328.544,   343.392]; seg_len = 14.848; step_len =  0.640; score =  0.106;    1
[  329.568,   344.448]; seg_len = 14.880; step_len =  1.024; score =  0.106;    1
[  330.528,   344.800]; seg_len = 14.272; step_len =  0.960; score =  0.106;    1
[  331.520,   346.432]; seg_len = 14.912; step_len =  0.992; score =  0.106;    1
[  332.512,   347.424]; seg_len = 14.912; step_len =  0.992; score =  0.106;    1
[  333.696,   348.640]; seg_len = 14.944; step_len =  1.184; score =  0.106;    1
[  334.496,   349.280]; seg_len = 14.784; step_len =  0.800; score =  0.106;    1
[  335.648,   350.560]; seg_len = 14.912; step_len =  1.152; score =  0.106;    1
[  336.480,   351.328]; seg_len = 14.848; step_len =  0.832; score =  0.106;    1
[  337.536,   352.352]; seg_len = 14.816; step_len =  1.056; score =  0.106;    1
