[  107.616,   117.472]; seg_len1 =  9.856; step_len1 =  1.280; [  107.808,   117.696]; seg_len2 =  9.888; step_len2 =  1.056; start_diff = -0.192; step_diff =  0.224; score = 24.0404;  238
[  109.184,   119.104]; seg_len1 =  9.920; step_len1 =  1.568; [  108.736,   118.464]; seg_len2 =  9.728; step_len2 =  0.928; start_diff =  0.448; step_diff =  0.640; score = 24.4831;  225
[  109.312,   119.264]; seg_len1 =  9.952; step_len1 =  0.128; [  109.728,   119.680]; seg_len2 =  9.952; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.864; score = 28.6504;  259
[  110.432,   120.384]; seg_len1 =  9.952; step_len1 =  1.120; [  110.720,   120.352]; seg_len2 =  9.632; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 29.2500;  234
[  111.904,   121.856]; seg_len1 =  9.952; step_len1 =  1.472; [  111.744,   121.696]; seg_len2 =  9.952; step_len2 =  1.024; start_diff =  0.160; step_diff =  0.448; score = 24.1315;  257
[  113.696,   123.648]; seg_len1 =  9.952; step_len1 =  1.792; [  112.896,   122.848]; seg_len2 =  9.952; step_len2 =  1.152; start_diff =  0.800; step_diff =  0.640; score = 28.8240;  326
[  113.696,   123.648]; seg_len1 =  9.952; step_len1 =  0.000; [  113.920,   123.776]; seg_len2 =  9.856; step_len2 =  1.024; start_diff = -0.224; step_diff = -1.024; score = 34.4798;  401
[  114.304,   124.256]; seg_len1 =  9.952; step_len1 =  0.608; [  116.160,   126.048]; seg_len2 =  9.888; step_len2 =  2.240; start_diff = -1.856; step_diff = -1.632; score = 38.8390;  562
[  115.680,   125.632]; seg_len1 =  9.952; step_len1 =  1.376; [  116.160,   126.048]; seg_len2 =  9.888; step_len2 =  0.000; start_diff = -0.480; step_diff =  1.376; score = 35.7291;  517
[  116.512,   126.400]; seg_len1 =  9.888; step_len1 =  0.832; [  116.672,   126.432]; seg_len2 =  9.760; step_len2 =  0.512; start_diff = -0.160; step_diff =  0.320; score = 38.1579;  551
[  117.312,   126.944]; seg_len1 =  9.632; step_len1 =  0.800; [  117.664,   127.328]; seg_len2 =  9.664; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.192; score = 40.3846;  567
[  118.272,   126.944]; seg_len1 =  8.672; step_len1 =  0.960; [  118.944,   128.864]; seg_len2 =  9.920; step_len2 =  1.280; start_diff = -0.672; step_diff = -0.320; score = 41.2649;  659
[  119.232,   129.184]; seg_len1 =  9.952; step_len1 =  0.960; [  119.648,   129.440]; seg_len2 =  9.792; step_len2 =  0.704; start_diff = -0.416; step_diff =  0.256; score = 36.6989;  607
[  120.384,   130.336]; seg_len1 =  9.952; step_len1 =  1.152; [  120.736,   130.304]; seg_len2 =  9.568; step_len2 =  1.088; start_diff = -0.352; step_diff =  0.064; score = 31.6085;  507
[  121.216,   131.072]; seg_len1 =  9.856; step_len1 =  0.832; [  121.664,   131.616]; seg_len2 =  9.952; step_len2 =  0.928; start_diff = -0.448; step_diff = -0.096; score = 32.6265;  477
[  122.592,   132.544]; seg_len1 =  9.952; step_len1 =  1.376; [  122.720,   132.576]; seg_len2 =  9.856; step_len2 =  1.056; start_diff = -0.128; step_diff =  0.320; score = 30.3010;  453
[  123.264,   133.216]; seg_len1 =  9.952; step_len1 =  0.672; [  123.712,   133.664]; seg_len2 =  9.952; step_len2 =  0.992; start_diff = -0.448; step_diff = -0.320; score = 33.0601;  484
[  124.192,   134.080]; seg_len1 =  9.888; step_len1 =  0.928; [  125.056,   135.008]; seg_len2 =  9.952; step_len2 =  1.344; start_diff = -0.864; step_diff = -0.416; score = 28.0534;  441
[  125.408,   135.296]; seg_len1 =  9.888; step_len1 =  1.216; [  125.728,   135.680]; seg_len2 =  9.952; step_len2 =  0.672; start_diff = -0.320; step_diff =  0.544; score = 26.7028;  443
[  126.272,   136.192]; seg_len1 =  9.920; step_len1 =  0.864; [  126.656,   136.608]; seg_len2 =  9.952; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.064; score = 25.9236;  407
[  128.704,   138.656]; seg_len1 =  9.952; step_len1 =  2.432; [  127.872,   137.760]; seg_len2 =  9.888; step_len2 =  1.216; start_diff =  0.832; step_diff =  1.216; score = 25.4810;  437
[  128.704,   138.656]; seg_len1 =  9.952; step_len1 =  0.000; [  128.736,   138.656]; seg_len2 =  9.920; step_len2 =  0.864; start_diff = -0.032; step_diff = -0.864; score = 28.9522;  478
[  129.152,   139.104]; seg_len1 =  9.952; step_len1 =  0.448; [  130.176,   140.096]; seg_len2 =  9.920; step_len2 =  1.440; start_diff = -1.024; step_diff = -0.992; score = 32.5957;  545
[  130.336,   140.288]; seg_len1 =  9.952; step_len1 =  1.184; [  131.168,   141.024]; seg_len2 =  9.856; step_len2 =  0.992; start_diff = -0.832; step_diff =  0.192; score = 29.8475;  548
[  131.200,   141.056]; seg_len1 =  9.856; step_len1 =  0.864; [  131.552,   141.440]; seg_len2 =  9.888; step_len2 =  0.384; start_diff = -0.352; step_diff =  0.480; score = 29.2159;  544
[  132.128,   141.952]; seg_len1 =  9.824; step_len1 =  0.928; [  132.576,   142.368]; seg_len2 =  9.792; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.096; score = 29.1855;  516
[  133.120,   142.496]; seg_len1 =  9.376; step_len1 =  0.992; [  133.536,   143.488]; seg_len2 =  9.952; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score = 28.9895;  525
[  134.208,   144.000]; seg_len1 =  9.792; step_len1 =  1.088; [  134.528,   144.448]; seg_len2 =  9.920; step_len2 =  0.992; start_diff = -0.320; step_diff =  0.096; score = 29.5882;  503
[  135.168,   144.800]; seg_len1 =  9.632; step_len1 =  0.960; [  135.520,   144.928]; seg_len2 =  9.408; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.032; score = 30.2083;  464
[  136.192,   145.856]; seg_len1 =  9.664; step_len1 =  1.024; [  136.512,   146.432]; seg_len2 =  9.920; step_len2 =  0.992; start_diff = -0.320; step_diff =  0.032; score = 31.0992;  464
