[  106.336,   111.136]; seg_len1 =  4.800; step_len1 =  0.992; [  106.752,   111.680]; seg_len2 =  4.928; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score =  9.5420;   50
[  107.616,   112.096]; seg_len1 =  4.480; step_len1 =  1.280; [  107.808,   112.480]; seg_len2 =  4.672; step_len2 =  1.056; start_diff = -0.192; step_diff =  0.224; score = 14.2292;   72
[  109.184,   114.144]; seg_len1 =  4.960; step_len1 =  1.568; [  108.736,   113.600]; seg_len2 =  4.864; step_len2 =  0.928; start_diff =  0.448; step_diff =  0.640; score = 26.6160;  140
[  109.312,   114.144]; seg_len1 =  4.832; step_len1 =  0.128; [  109.728,   114.624]; seg_len2 =  4.896; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.864; score = 29.3542;  150
[  110.432,   115.232]; seg_len1 =  4.800; step_len1 =  1.120; [  110.720,   114.624]; seg_len2 =  3.904; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 28.2609;  104
[  111.904,   116.864]; seg_len1 =  4.960; step_len1 =  1.472; [  111.744,   116.672]; seg_len2 =  4.928; step_len2 =  1.024; start_diff =  0.160; step_diff =  0.448; score =  6.4815;   28
[  113.696,   118.624]; seg_len1 =  4.928; step_len1 =  1.792; [  112.896,   117.696]; seg_len2 =  4.800; step_len2 =  1.152; start_diff =  0.800; step_diff =  0.640; score = 12.8099;   62
[  113.696,   118.624]; seg_len1 =  4.928; step_len1 =  0.000; [  113.920,   118.464]; seg_len2 =  4.544; step_len2 =  1.024; start_diff = -0.224; step_diff = -1.024; score = 18.8295;   74
[  114.304,   119.264]; seg_len1 =  4.960; step_len1 =  0.608; [  116.160,   121.088]; seg_len2 =  4.928; step_len2 =  2.240; start_diff = -1.856; step_diff = -1.632; score = 27.5194;  142
[  115.680,   120.576]; seg_len1 =  4.896; step_len1 =  1.376; [  116.160,   121.088]; seg_len2 =  4.928; step_len2 =  0.000; start_diff = -0.480; step_diff =  1.376; score = 18.7984;   97
[  116.512,   121.312]; seg_len1 =  4.800; step_len1 =  0.832; [  116.672,   121.568]; seg_len2 =  4.896; step_len2 =  0.512; start_diff = -0.160; step_diff =  0.320; score = 23.7589;  134
[  117.312,   121.984]; seg_len1 =  4.672; step_len1 =  0.800; [  117.664,   122.560]; seg_len2 =  4.896; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.192; score = 32.6433;  205
[  118.272,   122.784]; seg_len1 =  4.512; step_len1 =  0.960; [  118.944,   123.776]; seg_len2 =  4.832; step_len2 =  1.280; start_diff = -0.672; step_diff = -0.320; score = 35.1948;  271
[  119.232,   124.192]; seg_len1 =  4.960; step_len1 =  0.960; [  119.648,   124.448]; seg_len2 =  4.800; step_len2 =  0.704; start_diff = -0.416; step_diff =  0.256; score = 28.9017;  250
[  120.384,   124.832]; seg_len1 =  4.448; step_len1 =  1.152; [  120.736,   125.248]; seg_len2 =  4.512; step_len2 =  1.088; start_diff = -0.352; step_diff =  0.064; score = 20.5607;  176
[  121.216,   125.856]; seg_len1 =  4.640; step_len1 =  0.832; [  121.664,   126.432]; seg_len2 =  4.768; step_len2 =  0.928; start_diff = -0.448; step_diff = -0.096; score = 26.9318;  237
[  122.592,   126.944]; seg_len1 =  4.352; step_len1 =  1.376; [  122.720,   127.328]; seg_len2 =  4.608; step_len2 =  1.056; start_diff = -0.128; step_diff =  0.320; score = 27.3196;  212
[  123.264,   126.944]; seg_len1 =  3.680; step_len1 =  0.672; [  123.712,   128.320]; seg_len2 =  4.608; step_len2 =  0.992; start_diff = -0.448; step_diff = -0.320; score = 36.0000;  270
[  124.192,   129.152]; seg_len1 =  4.960; step_len1 =  0.928; [  125.056,   129.440]; seg_len2 =  4.384; step_len2 =  1.344; start_diff = -0.864; step_diff = -0.416; score = 24.8416;  196
[  125.408,   130.368]; seg_len1 =  4.960; step_len1 =  1.216; [  125.728,   130.304]; seg_len2 =  4.576; step_len2 =  0.672; start_diff = -0.320; step_diff =  0.544; score = 19.3850;  145
[  126.272,   131.232]; seg_len1 =  4.960; step_len1 =  0.864; [  126.656,   131.616]; seg_len2 =  4.960; step_len2 =  0.928; start_diff = -0.384; step_diff = -0.064; score = 18.0412;  105
