[   66.656,   106.528]; seg_len1 = 39.872; step_len1 =  0.992; [   67.168,   106.976]; seg_len2 = 39.808; step_len2 =  0.960; start_diff = -0.512; step_diff =  0.032; score = 32.9903; 1603
[   68.704,   108.256]; seg_len1 = 39.552; step_len1 =  2.048; [   68.064,   108.032]; seg_len2 = 39.968; step_len2 =  0.896; start_diff =  0.640; step_diff =  1.152; score = 33.5117; 1628
[   68.704,   108.256]; seg_len1 = 39.552; step_len1 =  0.000; [   69.056,   108.992]; seg_len2 = 39.936; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.992; score = 34.2708; 1645
[   69.632,   109.568]; seg_len1 = 39.936; step_len1 =  0.928; [   70.816,   110.720]; seg_len2 = 39.904; step_len2 =  1.760; start_diff = -1.184; step_diff = -0.832; score = 33.6310; 1657
[   70.720,   110.560]; seg_len1 = 39.840; step_len1 =  1.088; [   71.200,   110.720]; seg_len2 = 39.520; step_len2 =  0.384; start_diff = -0.480; step_diff =  0.704; score = 33.4560; 1636
[   71.840,   111.136]; seg_len1 = 39.296; step_len1 =  1.120; [   72.032,   112.000]; seg_len2 = 39.968; step_len2 =  0.832; start_diff = -0.192; step_diff =  0.288; score = 32.2507; 1559
[   72.704,   112.096]; seg_len1 = 39.392; step_len1 =  0.864; [   73.152,   112.960]; seg_len2 = 39.808; step_len2 =  1.120; start_diff = -0.448; step_diff = -0.256; score = 31.8647; 1526
[   73.696,   112.096]; seg_len1 = 38.400; step_len1 =  0.992; [   74.048,   113.952]; seg_len2 = 39.904; step_len2 =  0.896; start_diff = -0.352; step_diff =  0.096; score = 32.4656; 1534
[   74.752,   114.464]; seg_len1 = 39.712; step_len1 =  1.056; [   75.008,   114.624]; seg_len2 = 39.616; step_len2 =  0.960; start_diff = -0.256; step_diff =  0.096; score = 31.5323; 1459
[   75.872,   115.744]; seg_len1 = 39.872; step_len1 =  1.120; [   76.160,   114.624]; seg_len2 = 38.464; step_len2 =  1.152; start_diff = -0.288; step_diff = -0.032; score = 31.6165; 1418
[   76.576,   116.544]; seg_len1 = 39.968; step_len1 =  0.704; [   77.216,   116.896]; seg_len2 = 39.680; step_len2 =  1.056; start_diff = -0.640; step_diff = -0.352; score = 31.2700; 1369
[   77.760,   117.472]; seg_len1 = 39.712; step_len1 =  1.184; [   78.368,   118.176]; seg_len2 = 39.808; step_len2 =  1.152; start_diff = -0.608; step_diff =  0.032; score = 30.3607; 1355
[   78.560,   118.304]; seg_len1 = 39.744; step_len1 =  0.800; [   78.976,   118.944]; seg_len2 = 39.968; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.192; score = 30.6056; 1324
[   79.680,   119.648]; seg_len1 = 39.968; step_len1 =  1.120; [   79.968,   119.936]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 31.4032; 1345
[   80.800,   120.768]; seg_len1 = 39.968; step_len1 =  1.120; [   80.960,   120.768]; seg_len2 = 39.808; step_len2 =  0.992; start_diff = -0.160; step_diff =  0.128; score = 31.3605; 1330
[   81.536,   121.312]; seg_len1 = 39.776; step_len1 =  0.736; [   81.952,   121.920]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.256; score = 31.7901; 1387
[   82.560,   121.984]; seg_len1 = 39.424; step_len1 =  1.024; [   83.264,   123.232]; seg_len2 = 39.968; step_len2 =  1.312; start_diff = -0.704; step_diff = -0.288; score = 32.7269; 1457
[   83.520,   123.488]; seg_len1 = 39.968; step_len1 =  0.960; [   83.936,   123.776]; seg_len2 = 39.840; step_len2 =  0.672; start_diff = -0.416; step_diff =  0.288; score = 32.3191; 1434
[   84.512,   124.480]; seg_len1 = 39.968; step_len1 =  0.992; [   85.024,   124.448]; seg_len2 = 39.424; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 33.4843; 1479
[   85.856,   125.824]; seg_len1 = 39.968; step_len1 =  1.344; [   85.920,   125.888]; seg_len2 = 39.968; step_len2 =  0.896; start_diff = -0.064; step_diff =  0.448; score = 33.0700; 1465
[   86.528,   126.400]; seg_len1 = 39.872; step_len1 =  0.672; [   87.040,   126.912]; seg_len2 = 39.872; step_len2 =  1.120; start_diff = -0.512; step_diff = -0.448; score = 33.1662; 1521
[   87.552,   126.944]; seg_len1 = 39.392; step_len1 =  1.024; [   88.320,   128.256]; seg_len2 = 39.936; step_len2 =  1.280; start_diff = -0.768; step_diff = -0.256; score = 33.9020; 1550
[   88.864,   128.832]; seg_len1 = 39.968; step_len1 =  1.312; [   89.024,   128.864]; seg_len2 = 39.840; step_len2 =  0.704; start_diff = -0.160; step_diff =  0.608; score = 34.5733; 1580
[   89.472,   129.440]; seg_len1 = 39.968; step_len1 =  0.608; [   90.016,   129.440]; seg_len2 = 39.424; step_len2 =  0.992; start_diff = -0.544; step_diff = -0.384; score = 34.6795; 1580
[   90.784,   130.752]; seg_len1 = 39.968; step_len1 =  1.312; [   91.328,   131.296]; seg_len2 = 39.968; step_len2 =  1.312; start_diff = -0.544; step_diff =  0.000; score = 33.5007; 1535
[   91.520,   131.456]; seg_len1 = 39.936; step_len1 =  0.736; [   91.904,   131.872]; seg_len2 = 39.968; step_len2 =  0.576; start_diff = -0.384; step_diff =  0.160; score = 33.8168; 1562
[   92.576,   132.544]; seg_len1 = 39.968; step_len1 =  1.056; [   93.728,   133.664]; seg_len2 = 39.936; step_len2 =  1.824; start_diff = -1.152; step_diff = -0.768; score = 33.2095; 1609
[   93.440,   133.248]; seg_len1 = 39.808; step_len1 =  0.864; [   93.856,   133.728]; seg_len2 = 39.872; step_len2 =  0.128; start_diff = -0.416; step_diff =  0.736; score = 32.5057; 1571
[   94.560,   134.432]; seg_len1 = 39.872; step_len1 =  1.120; [   95.168,   135.104]; seg_len2 = 39.936; step_len2 =  1.312; start_diff = -0.608; step_diff = -0.192; score = 32.1850; 1635
[   95.424,   135.296]; seg_len1 = 39.872; step_len1 =  0.864; [   95.872,   135.680]; seg_len2 = 39.808; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.160; score = 32.6498; 1640
[   96.800,   136.576]; seg_len1 = 39.776; step_len1 =  1.376; [   97.024,   136.992]; seg_len2 = 39.968; step_len2 =  1.152; start_diff = -0.224; step_diff =  0.224; score = 32.2754; 1678
[   98.720,   138.656]; seg_len1 = 39.936; step_len1 =  1.920; [   97.856,   137.760]; seg_len2 = 39.904; step_len2 =  0.832; start_diff =  0.864; step_diff =  1.088; score = 32.7953; 1727
[   98.720,   138.656]; seg_len1 = 39.936; step_len1 =  0.000; [   99.200,   139.072]; seg_len2 = 39.872; step_len2 =  1.344; start_diff = -0.480; step_diff = -1.344; score = 34.0602; 1812
[   99.680,   139.392]; seg_len1 = 39.712; step_len1 =  0.960; [   99.808,   139.776]; seg_len2 = 39.968; step_len2 =  0.608; start_diff = -0.128; step_diff =  0.352; score = 33.6995; 1810
[  101.184,   141.056]; seg_len1 = 39.872; step_len1 =  1.504; [  100.832,   140.736]; seg_len2 = 39.904; step_len2 =  1.024; start_diff =  0.352; step_diff =  0.480; score = 33.9097; 1863
[  101.440,   141.312]; seg_len1 = 39.872; step_len1 =  0.256; [  102.112,   142.080]; seg_len2 = 39.968; step_len2 =  1.280; start_diff = -0.672; step_diff = -1.024; score = 34.5749; 1940
[  102.368,   142.272]; seg_len1 = 39.904; step_len1 =  0.928; [  102.816,   142.752]; seg_len2 = 39.936; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.224; score = 34.6921; 1949
[  103.456,   142.496]; seg_len1 = 39.040; step_len1 =  1.088; [  103.936,   143.744]; seg_len2 = 39.808; step_len2 =  1.120; start_diff = -0.480; step_diff = -0.032; score = 35.0459; 1985
[  104.512,   144.480]; seg_len1 = 39.968; step_len1 =  1.056; [  104.768,   144.736]; seg_len2 = 39.968; step_len2 =  0.832; start_diff = -0.256; step_diff =  0.224; score = 34.9637; 1973
[  105.344,   145.184]; seg_len1 = 39.840; step_len1 =  0.832; [  105.792,   144.928]; seg_len2 = 39.136; step_len2 =  1.024; start_diff = -0.448; step_diff = -0.192; score = 35.4224; 1933
[  106.336,   145.856]; seg_len1 = 39.520; step_len1 =  0.992; [  106.752,   146.720]; seg_len2 = 39.968; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.032; score = 36.0749; 1965
[  107.616,   147.584]; seg_len1 = 39.968; step_len1 =  1.280; [  107.808,   147.264]; seg_len2 = 39.456; step_len2 =  1.056; start_diff = -0.192; step_diff =  0.224; score = 36.9274; 1983
[  109.184,   149.088]; seg_len1 = 39.904; step_len1 =  1.568; [  108.736,   148.512]; seg_len2 = 39.776; step_len2 =  0.928; start_diff =  0.448; step_diff =  0.640; score = 37.3351; 1981
[  109.312,   149.280]; seg_len1 = 39.968; step_len1 =  0.128; [  109.728,   149.696]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.864; score = 37.8211; 2017
[  110.432,   149.984]; seg_len1 = 39.552; step_len1 =  1.120; [  110.720,   150.688]; seg_len2 = 39.968; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 38.8579; 2089
[  111.904,   151.808]; seg_len1 = 39.904; step_len1 =  1.472; [  111.744,   151.712]; seg_len2 = 39.968; step_len2 =  1.024; start_diff =  0.160; step_diff =  0.448; score = 37.2900; 2042
[  113.696,   153.664]; seg_len1 = 39.968; step_len1 =  1.792; [  112.896,   152.416]; seg_len2 = 39.520; step_len2 =  1.152; start_diff =  0.800; step_diff =  0.640; score = 37.7786; 2102
[  113.696,   153.664]; seg_len1 = 39.968; step_len1 =  0.000; [  113.920,   153.888]; seg_len2 = 39.968; step_len2 =  1.024; start_diff = -0.224; step_diff = -1.024; score = 38.6798; 2168
[  114.304,   154.272]; seg_len1 = 39.968; step_len1 =  0.608; [  116.160,   156.128]; seg_len2 = 39.968; step_len2 =  2.240; start_diff = -1.856; step_diff = -1.632; score = 38.7731; 2326
[  115.680,   155.616]; seg_len1 = 39.936; step_len1 =  1.376; [  116.160,   156.128]; seg_len2 = 39.968; step_len2 =  0.000; start_diff = -0.480; step_diff =  1.376; score = 38.0230; 2281
[  116.512,   156.128]; seg_len1 = 39.616; step_len1 =  0.832; [  116.672,   156.640]; seg_len2 = 39.968; step_len2 =  0.512; start_diff = -0.160; step_diff =  0.320; score = 38.5040; 2301
[  117.312,   157.056]; seg_len1 = 39.744; step_len1 =  0.800; [  117.664,   156.992]; seg_len2 = 39.328; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.192; score = 38.9516; 2311
[  118.272,   157.056]; seg_len1 = 38.784; step_len1 =  0.960; [  118.944,   158.560]; seg_len2 = 39.616; step_len2 =  1.280; start_diff = -0.672; step_diff = -0.320; score = 39.3086; 2388
[  119.232,   159.104]; seg_len1 = 39.872; step_len1 =  0.960; [  119.648,   159.520]; seg_len2 = 39.872; step_len2 =  0.704; start_diff = -0.416; step_diff =  0.256; score = 38.3929; 2365
