[  109.312,   124.256]; seg_len1 = 14.944; step_len1 =  0.128; [  109.728,   124.448]; seg_len2 = 14.720; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.864; score = 35.1259;  614
[  110.432,   124.832]; seg_len1 = 14.400; step_len1 =  1.120; [  110.720,   125.248]; seg_len2 = 14.528; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 35.8696;  594
[  111.904,   126.848]; seg_len1 = 14.944; step_len1 =  1.472; [  111.744,   126.688]; seg_len2 = 14.944; step_len2 =  1.024; start_diff =  0.160; step_diff =  0.448; score = 34.1220;  649
[  113.696,   126.944]; seg_len1 = 13.248; step_len1 =  1.792; [  112.896,   127.328]; seg_len2 = 14.432; step_len2 =  1.152; start_diff =  0.800; step_diff =  0.640; score = 36.1497;  676
[  113.696,   126.944]; seg_len1 = 13.248; step_len1 =  0.000; [  113.920,   128.864]; seg_len2 = 14.944; step_len2 =  1.024; start_diff = -0.224; step_diff = -1.024; score = 39.6482;  789
[  114.304,   129.248]; seg_len1 = 14.944; step_len1 =  0.608; [  116.160,   130.304]; seg_len2 = 14.144; step_len2 =  2.240; start_diff = -1.856; step_diff = -1.632; score = 39.4892;  804
[  115.680,   130.368]; seg_len1 = 14.688; step_len1 =  1.376; [  116.160,   130.304]; seg_len2 = 14.144; step_len2 =  0.000; start_diff = -0.480; step_diff =  1.376; score = 37.2790;  759
[  116.512,   131.456]; seg_len1 = 14.944; step_len1 =  0.832; [  116.672,   131.616]; seg_len2 = 14.944; step_len2 =  0.512; start_diff = -0.160; step_diff =  0.320; score = 39.0424;  791
[  117.312,   132.256]; seg_len1 = 14.944; step_len1 =  0.800; [  117.664,   132.576]; seg_len2 = 14.912; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.192; score = 38.0593;  808
[  118.272,   133.216]; seg_len1 = 14.944; step_len1 =  0.960; [  118.944,   133.888]; seg_len2 = 14.944; step_len2 =  1.280; start_diff = -0.672; step_diff = -0.320; score = 38.6082;  871
[  119.232,   134.080]; seg_len1 = 14.848; step_len1 =  0.960; [  119.648,   134.560]; seg_len2 = 14.912; step_len2 =  0.704; start_diff = -0.416; step_diff =  0.256; score = 35.4381;  825
[  120.384,   135.296]; seg_len1 = 14.912; step_len1 =  1.152; [  120.736,   135.680]; seg_len2 = 14.944; step_len2 =  1.088; start_diff = -0.352; step_diff =  0.064; score = 32.0080;  805
[  121.216,   136.000]; seg_len1 = 14.784; step_len1 =  0.832; [  121.664,   136.608]; seg_len2 = 14.944; step_len2 =  0.928; start_diff = -0.448; step_diff = -0.096; score = 31.7959;  779
[  122.592,   137.536]; seg_len1 = 14.944; step_len1 =  1.376; [  122.720,   137.632]; seg_len2 = 14.912; step_len2 =  1.056; start_diff = -0.128; step_diff =  0.320; score = 31.7123;  776
[  123.264,   138.112]; seg_len1 = 14.848; step_len1 =  0.672; [  123.712,   138.656]; seg_len2 = 14.944; step_len2 =  0.992; start_diff = -0.448; step_diff = -0.320; score = 33.6943;  809
